[2025-05-09 21:01:57.682] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-05-09 21:01:57.692] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-05-09 21:01:57.692] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-05-09 21:01:57.709] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-05-09 21:01:57.710] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-05-09 21:01:57.711] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-05-09 21:01:57.711] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-05-09 21:01:57.713] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-05-09 21:01:57.714] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-05-09 21:01:57.727] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-05-09 21:01:57.727] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-05-09 21:01:57.730] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2025-05-09 21:01:57.736] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2025-05-09 21:01:57.739] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-05-09 21:01:57.740] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-05-09 21:01:57.793] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-05-09 21:01:57.793] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-05-09 21:01:57.798] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-05-09 21:01:57.799] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-05-09 21:01:57.808] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-05-09 21:01:57.809] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-05-09 21:01:57.819] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-05-09 21:01:57.822] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-05-09 21:01:57.841] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-05-09 21:01:57.841] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
